"CIRCOSCRIZIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"ADA";"1"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"FORZA ITALIA";"121"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"ALLEANZA NAZIONALE";"25"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"LEGA NORD";"97"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"SVP";"41"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"LA RETE-MOV.DEM.";"6"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"PDS";"20"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"P.POPOLARE ITALIANO";"87"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"PSI";"8"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"RIFONDAZIONE COMUNISTA";"2"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"FEDERAZIONE DEI VERDI";"11"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PANCHIA'";529;;462;;43;"PART.LEGGE NATURALE";"0"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PERGINE VALSUGANA";12785;;11525;;870;"PSI";"173"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PERGINE VALSUGANA";12785;;11525;;870;"FEDERAZIONE DEI VERDI";"446"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PERGINE VALSUGANA";12785;;11525;;870;"FORZA ITALIA";"2402"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PERGINE VALSUGANA";12785;;11525;;870;"PART.LEGGE NATURALE";"57"
"TRENTINO ALTO ADIGE";"Pergine Valsugana";"PERGINE VALSUGANA";12785;;11525;;870;"ADA";"28"
