"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"descrlista";"votiLista";"cognome";"nome";"datanascita";"luogonascita";"sesso";"CODTIPOELETTO"
5/4/1992 00:00:00;"S";"LOMBARDIA";"SONDRIO";"LEGA ALPINA LUMBARDA";2129;"DE PAOLI ELIDIO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"MSI-DN";13058;"VEVANTE SCIOLETTI MARIA";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"RIFONDAZIONE COMUNISTA";11775;"D'ANGELOSANTE FRANCECOPAOLO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"PRI";5228;"PROFETA ALFONSO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"FEDERAZIONE DEI VERDI";6124;"GIANNANDREA GIOVANNI CETTEO DE";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"PLI";4921;"FERRI GIANCARLO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"PSDI";3422;"FILIBERTI GIULIO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"LEGA LOMBARDA";1525;"RUSSO RAFFAELE";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"PESCARA";"FEDERALISMO-PENS.UV.";492;"DRAGONETTI DE TORRES COSIMO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"DC";54537;"DI STEFANO CORRADINO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"PDS";37924;"FRANCHI ANTONIO";;;;;"E"
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"PSI";17385;"SCARPONE GUERINO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"MSI-DN";11022;"NUCELLESE DOMENICO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"RIFONDAZIONE COMUNISTA";14275;"MELARANGELO SANDRO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"PRI";3749;"RIVA RICCARDO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"FEDERAZIONE DEI VERDI";5696;"DI MARCOBERARDINO FERNANDO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"PLI";2799;"FARANDA CALOGERO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"PSDI";2267;"MARTELLI FRANCESCO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"LEGA LOMBARDA";1330;"MARINELLI ARRIGO";;;;;
5/4/1992 00:00:00;"S";"ABRUZZO";"TERAMO";"FEDERALISMO-PENS.UV.";765;"CIAMPETTI ORIENTE";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"DC";43930;"LOMBARDI DOMENICO RAFFAELE";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"LISTA PER IL MOLISE";27231;"BISCARDI LUIGI";;;;;"E"
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"PSI";13604;"LEONELLI RAFFAELE";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"MSI-DN";8324;"DEL PINTO ANACLETO GOFFREDO";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"PARTITO PENSIONATI";1754;"ILARDI FRANCESCO";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"LEGA LOMBARDA";940;"FRANCO AGOSTINO";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"CAMPOBASSO-ISERNIA";"FEDERALISMO-PENS.UV.";489;"SAQUELLA ATTILIO";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"DC";37849;"DI LEMBO OSVALDO";;;;;"E"
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"LISTA PER IL MOLISE";21121;"BISCARDI LUIGI";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"PSI";12573;"SASSANI MICHELE";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"MSI-DN";5460;"COLUCCI ANTONIO FEDELE";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"PARTITO PENSIONATI";1288;"COLOMBO LIVIA MARIA";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"LEGA LOMBARDA";761;"VERGATI ENRICO";;;;;
5/4/1992 00:00:00;"S";"MOLISE";"LARINO";"FEDERALISMO-PENS.UV.";357;"GIORGIO GIOVANNI";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"DC";53439;"MANCINO NICOLA";;;;;"E"
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"PDS";13038;"LISSA GIUSEPPE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"PSI";26207;"ACONE MODESTINO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"MSI-DN";9591;"D'ERCOLE FRANCESCO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"RIFONDAZIONE COMUNISTA";4388;"TROISI ANTONIO MICHELE AGOSTIN";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"PRI";5019;"PICARIELLO ANTONINO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"PSDI";5325;"MARTINO MODESTINO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"PLI";2281;"PIRONE ROBERTO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"FEDERAZIONE DEI VERDI";2405;"CASALI LIDIA";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"LISTA REFERENDUM";860;"DE RIENZO D'AMATO GIUSEPPINA";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"FEDERALISMO-PENS.UV.";309;"MAIO EMMANUELE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"LEGA DELLE LEGHE";216;"D'AMELIO FRANCESCO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"LEGA D'AZIONE MERIDIONALE";126;"DE FEO FEDERICO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"AVELLINO";"LEGA LOMBARDA";229;"PETRILLO PASQUALE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"DC";36451;"DE VITO SALVERINO";;;;;"E"
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"PDS";10095;"MEROLA ALFONSO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"PSI";15665;"FILIPPONE PIETRO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"MSI-DN";3103;"DEL VISCOVO TOMMASO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"RIFONDAZIONE COMUNISTA";3210;"DI NINNO ANTONIO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"PRI";2334;"GESA GIUSEPPE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"PSDI";1771;"GUERRIERO GIOVANNI";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"PLI";893;"LEPORE GIUSEPPE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"FEDERAZIONE DEI VERDI";814;"GAUDIOSI LELLO";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"LISTA REFERENDUM";524;"DE RIENZO D'AMATO GIUSEPPE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"FEDERALISMO-PENS.UV.";77;"MAIO EMMANUELE";;;;;
5/4/1992 00:00:00;"S";"CAMPANIA";"SANT'ANGELO DEI LOMBARDI";"LEGA DELLE LEGHE";86;"D'AMELIO FRANCESCO";;;;;
