"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"PALU' DEL FERSINA";"147";;"126";"71";"2";"IL POPOLO DELLA LIBERTA'";"31"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"PANCHIA'";"508";;"400";"206";"12";"IL POPOLO DELLA LIBERTA'";"184"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"PEIO";"1421";;"1151";"596";"37";"IL POPOLO DELLA LIBERTA'";"391"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"PELLIZZANO";"566";;"459";"231";"8";"IL POPOLO DELLA LIBERTA'";"152"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PELUGO";"252";;"221";"102";"10";"IL POPOLO DELLA LIBERTA'";"118"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"PERGINE VALSUGANA";"13355";;"10984";"5379";"252";"IL POPOLO DELLA LIBERTA'";"4204"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PIEVE DI BONO";"1013";;"814";"423";"24";"IL POPOLO DELLA LIBERTA'";"293"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PIEVE DI LEDRO";"438";;"389";"194";"4";"IL POPOLO DELLA LIBERTA'";"182"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"PIEVE TESINO";"558";;"463";"234";"13";"IL POPOLO DELLA LIBERTA'";"159"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PINZOLO";"2237";;"1955";"972";"39";"IL POPOLO DELLA LIBERTA'";"1079"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"POMAROLO";"1642";;"1458";"749";"36";"IL POPOLO DELLA LIBERTA'";"491"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"POZZA DI FASSA";"1403";;"1189";"588";"29";"IL POPOLO DELLA LIBERTA'";"679"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PRASO";"274";;"214";"117";"5";"IL POPOLO DELLA LIBERTA'";"51"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"PREDAZZO";"3168";;"2573";"1262";"67";"IL POPOLO DELLA LIBERTA'";"1167"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PREORE";"297";;"264";"131";"4";"IL POPOLO DELLA LIBERTA'";"76"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"PREZZO";"152";;"132";"68";"5";"IL POPOLO DELLA LIBERTA'";"41"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"RABBI";"1039";;"843";"425";"56";"IL POPOLO DELLA LIBERTA'";"329"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"RAGOLI";"565";;"492";"259";"17";"IL POPOLO DELLA LIBERTA'";"184"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"REVO'";"837";;"662";"331";"19";"IL POPOLO DELLA LIBERTA'";"241"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"RIVA DEL GARDA";"10962";;"8957";"4268";"157";"IL POPOLO DELLA LIBERTA'";"3482"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"ROMALLO";"432";;"382";"198";"15";"IL POPOLO DELLA LIBERTA'";"126"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"ROMENO";"932";;"805";"401";"21";"IL POPOLO DELLA LIBERTA'";"341"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"RONCEGNO";"1966";;"1560";"752";"55";"IL POPOLO DELLA LIBERTA'";"534"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"RONCHI VALSUGANA";"303";;"242";"122";"5";"IL POPOLO DELLA LIBERTA'";"79"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"RONCONE";"1025";;"879";"429";"36";"IL POPOLO DELLA LIBERTA'";"310"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"RONZO-CHIENIS";"766";;"615";"330";"9";"IL POPOLO DELLA LIBERTA'";"216"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"RONZONE";"281";;"240";"124";"4";"IL POPOLO DELLA LIBERTA'";"117"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"ROVERE' DELLA LUNA";"1115";;"989";"505";"29";"IL POPOLO DELLA LIBERTA'";"435"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"ROVERETO";"25522";;"21126";"9890";"407";"IL POPOLO DELLA LIBERTA'";"7104"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"RUFFRE'-MENDOLA";"318";;"262";"126";"12";"IL POPOLO DELLA LIBERTA'";"105"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"RUMO";"587";;"496";"257";"20";"IL POPOLO DELLA LIBERTA'";"191"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SAGRON MIS";"167";;"138";"67";"1";"IL POPOLO DELLA LIBERTA'";"29"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SAMONE";"374";;"337";"164";"9";"IL POPOLO DELLA LIBERTA'";"103"
