"CIRCOSCRIZIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"LISTA DI PIETRO";"88"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"COMUNISTI ITALIANI";"45"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"ALLEANZA NAZIONALE";"488"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"DEMOCRATICI SINISTRA";"361"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"LA MARGHERITA";"260"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"ABOLIZIONE SCORPORO";"5"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"RIFONDAZIONE COMUNISTA";"104"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"IL GIRASOLE";"22"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"NUOVO PSI";"30"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"REPUBBLICANI EUROPEI";"8"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"PAESE NUOVO";"2"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"DEMOCRAZIA EUROPEA";"43"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"FORZA ITALIA";"636"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"PANNELLA-BONINO";"36"
"MARCHE";"Ascoli Piceno";"ACQUASANTA TERME";4229;2147;2606;1296;300;"CCD-CDU";"98"
"MARCHE";"Ascoli Piceno";"AMANDOLA";3347;1620;2814;1414;132;"ABOLIZIONE SCORPORO";"1"
"MARCHE";"Ascoli Piceno";"AMANDOLA";3347;1620;2814;1414;132;"FORZA ITALIA";"581"
"MARCHE";"Ascoli Piceno";"AMANDOLA";3347;1620;2814;1414;132;"PANNELLA-BONINO";"36"
"MARCHE";"Ascoli Piceno";"AMANDOLA";3347;1620;2814;1414;132;"ALLEANZA NAZIONALE";"464"
"MARCHE";"Ascoli Piceno";"AMANDOLA";3347;1620;2814;1414;132;"DEMOCRATICI SINISTRA";"651"
